[2026-09-26T14:34:57.956Z] syncing 1 Topps Tiles products to Shopify as DRAFT
[2026-09-26T14:49:18.028Z] ✓ Salerno — 2/2 variants, 10 images, 2 variant images
[2026-09-26T14:49:18.749Z] ✓ Topps Tiles Rapidset Flexible — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:49:24.695Z] ✓ Pedestal Extension — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:49:33.539Z] ✓ RUBI Long Spacers — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:49:35.947Z] ✓ RUBI Spacers — 15/15 variants, 15 images, 15 variant images
[2026-09-26T14:49:38.761Z] ✓ RUBI Wedges — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:49:45.264Z] ✓ Calacatta Tile (60cm x 60cm) — 1/1 variants, 6 images, 1 variant images
[2026-09-26T14:49:54.887Z] ✓ Elevo — 6/6 variants, 30 images, 6 variant images
[2026-09-26T14:50:01.028Z] ✓ Zellica™ — 17/17 variants, 78 images, 17 variant images
[2026-09-26T14:50:19.172Z] ✓ Kelsey™ — 3/3 variants, 15 images, 3 variant images
[2026-09-26T14:50:19.366Z] ✓ Matrix Trims — 46/46 variants, 52 images, 46 variant images
[2026-09-26T14:50:27.377Z] ✓ Pronto™ Luxury Vinyl Tiles — 37/37 variants, 159 images, 37 variant images
[2026-09-26T14:50:39.164Z] ✓ Ayce™ — 2/2 variants, 11 images, 2 variant images
[2026-09-26T14:50:42.212Z] ✓ Warmup Promat — 20/20 variants, 40 images, 20 variant images
[2026-09-26T14:50:47.217Z] ✓ Principle™ Tiles — 4/4 variants, 24 images, 4 variant images
[2026-09-26T14:51:00.306Z] ✓ Flute™ Tiles — 10/10 variants, 48 images, 10 variant images
[2026-09-26T14:51:00.599Z] ✓ Spectre™ — 4/4 variants, 22 images, 4 variant images
[2026-09-26T14:51:00.947Z] ✓ BAL All-In-One Plus Primer — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:51:15.673Z] ✓ Dural Multifloor Vinyl Tile Door Bar — 6/6 variants, 8 images, 6 variant images
[2026-09-26T14:51:16.872Z] ✓ BAL Grout Flex — 10/10 variants, 10 images, 10 variant images
[2026-09-26T14:51:19.914Z] ✓ Scotia Vinyl Tile Trim — 7/7 variants, 14 images, 7 variant images
[2026-09-26T14:51:24.286Z] ✓ Apuano™ Tile (60cm x 60cm) — 1/1 variants, 7 images, 1 variant images
[2026-09-26T14:51:24.287Z] progress 150/843 (ok 150, warnings 0, failed 0)
[2026-09-26T14:51:32.389Z] ✓ BAL Grout Flex Wide Joint — 10/10 variants, 10 images, 10 variant images
[2026-09-26T14:51:35.211Z] ✓ Stabila 70-2 Spirit Level — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:51:43.215Z] ✓ Everscape Enis™ — 6/6 variants, 28 images, 6 variant images
[2026-09-26T14:51:49.450Z] ✓ Dakota Levelling Tall Clips — 2/2 variants, 4 images, 2 variant images
[2026-09-26T14:51:55.842Z] ✓ Enis™ — 12/12 variants, 52 images, 12 variant images
[2026-09-26T14:51:58.048Z] ✓ Outdoor Box 20mm Trim 2.7m — 4/4 variants, 5 images, 4 variant images
[2026-09-26T14:52:04.181Z] ✓ Outdoor Box Corner Trim — 5/5 variants, 5 images, 5 variant images
[2026-09-26T14:52:09.992Z] ✓ Prossimo™ Tile — 1/1 variants, 9 images, 1 variant images
[2026-09-26T14:52:10.459Z] ✓ Cliq™ Tiles — 2/2 variants, 8 images, 2 variant images
[2026-09-26T14:52:12.826Z] ✓ Marshalltown Trowel — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:52:17.328Z] ✓ Bellingham™ Tile — 1/1 variants, 9 images, 1 variant images
[2026-09-26T14:52:25.262Z] ✓ Foundry™ Corners — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:52:27.461Z] ✓ Warmup 6iE Mini Thermostat — 2/2 variants, 8 images, 2 variant images
[2026-09-26T14:52:34.099Z] ✓ DEX Stainless Steel Notch Trowel — 4/4 variants, 12 images, 4 variant images
[2026-09-26T14:52:39.664Z] ✓ DEX T Spacers — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:52:42.548Z] ✓ DEX Spacers — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:52:51.525Z] ✓ Emberton™ Tiles — 4/4 variants, 20 images, 4 variant images
[2026-09-26T14:52:58.802Z] ✓ Quarry Tiles — 6/6 variants, 21 images, 6 variant images
[2026-09-26T14:52:59.651Z] ✓ Saplewood™ — 3/3 variants, 16 images, 3 variant images
[2026-09-26T14:53:05.239Z] ✓ Raimondi Medusa Single Suction Cup — 1/1 variants, 7 images, 1 variant images
[2026-09-26T14:53:07.294Z] ✓ Dural Clipper Transition Silver Door Bar — 2/2 variants, 3 images, 2 variant images
[2026-09-26T14:53:13.928Z] ✓ MyStone™ Blanco Tile (31.6cm x 60cm) — 1/1 variants, 10 images, 1 variant images
[2026-09-26T14:53:15.889Z] ✓ Outdoor Straight Edge Trim — 7/7 variants, 9 images, 7 variant images
[2026-09-26T14:53:24.115Z] ✓ Nordbon — 3/3 variants, 18 images, 3 variant images
[2026-09-26T14:53:28.957Z] ✓ Kerakoll H40 Advanced Adhesive — 2/2 variants, 4 images, 2 variant images
[2026-09-26T14:53:28.959Z] progress 175/843 (ok 175, warnings 0, failed 0)
[2026-09-26T14:53:31.222Z] ✓ Kerakoll H40 Gel Adhesive — 2/2 variants, 4 images, 2 variant images
[2026-09-26T14:53:46.212Z] ✓ Tilemaster Grout 3000 — 5/5 variants, 10 images, 5 variant images
[2026-09-26T14:53:48.944Z] ✓ Kapital™ — 12/12 variants, 54 images, 12 variant images
[2026-09-26T14:53:55.947Z] ✓ Trade Glossy White Tile (15cm x 15cm) — 1/1 variants, 2 images, 1 variant images
[2026-09-26T14:53:59.548Z] ✓ Laminate Panels — 32/32 variants, 82 images, 32 variant images
[2026-09-26T14:54:03.447Z] ✓ Tilemaster Silicone 3000 — 5/5 variants, 10 images, 5 variant images
[2026-09-26T14:54:13.892Z] ✓ Porcelain Panels — 3/3 variants, 16 images, 3 variant images
[2026-09-26T14:54:17.837Z] ✓ Multipanel Internal Corner Profile — 5/5 variants, 14 images, 5 variant images
[2026-09-26T14:54:20.608Z] ✓ Multipanel End Cap Profile — 5/5 variants, 14 images, 5 variant images
[2026-09-26T14:54:27.586Z] ✓ Multipanel Invisible Corner Profile 2.45m — 1/1 variants, 3 images, 1 variant images
